isolate;read_pairs_before_filter;read_pairs_after_filter;alignment_rate_pct
Vill.A1.1BIS ;6141047;6037397;77,25
Vill.A12BIS ;4163105;4091851;80,06
Vill-A1-2_S63 ;8525364;8222354;97,39
Vill-A1-3_S79 ;9634233;9300054;98,72
Vill.A2.1BIS ;2316459;2276309;79,75
Vill.A3.1BIS ;4429930;4365609;81,35
Vill.A3.2BIS ;23067531;22648764;92,37
Vill.A3.3BIS ;6324250;6220107;71,73
Vill.A3.4BIS ;4669538;4586676;92,07
Vill.B1BIS ;6873393;6757409;91,35
Vill.B2BIS ;3358881;3308272;92,05
Vill-B4_S67 ;8006852;7632617;98,27
Vill.B5BIS ;101894;99354;80,79
Vill.C11.1 ;3534781;3409166;98,15
Vill.C1.1BIS ;9266647;9109764;82,72
Vill-C1-2_S59 ;8077688;7762040;98,74
Vill.C13.1 ;5924602;5713039;98,39
Vill.C14.1 ;7763538;7482932;98,53
Vill.C15.1 ;1403079;1351124;97,85
Vill.C16.1 ;1562571;1508142;98,66
Vill.C19.1 ;3014031;2913537;97,81
Vill.C21.1 ;1509511;1455483;98,21
Vill.C22.1 ;3543073;3408668;98,22
Vill.C2.2 ;7262226;7148553;89,46
Vill.C23.1 ;1726183;1666257;98,46
Vill.C25.1 ;6233529;6006708;98,76
Vill.C27.1 ;2190827;2110964;98,38
Vill.C28.1 ;3670640;3542653;98,68
Vill.C30.1 ;2889602;2780059;98,13
Vill.C31.1 ;4481277;4405476;93,14
Vill.C31.2 ;5624572;5427688;98,33
Vill.C31.4 ;10539226;10347354;88,18
Vill.C32.1 ;6039031;5934307;92,2
Vill.C32.2 ;7139890;7028797;85,82
Vill.C32.3 ;7512546;7381090;94,82
Vill.C3.2 ;14530652;14274081;79,27
Vill.C4.1 ;543579;524551;97,94
Vill.C5.3 ;348065;337258;98,44
Vill.C6.3 ;12724599;12496685;76,9
Vill.C6.5 ;2997570;2846940;98,33
Vill.C7.1 ;732549;707986;98,09
Vill.C8.1 ;3324613;3198336;98,14
Vill.C9.1 ;976836;940466;98,06
